ID,Formula,order,d,TM-atom,CO-atom,Spin-Magmom,TM-IonicRadius,CO-IonicRadius,Sum-IonicRadius,TM-CovalentRadius,CO-CovalentRadius,Sum-CovalentRadius,TM-DipolePolarization,CO-DipolePolarization,Sum-DipolePolarization,TM-Electronegativity,CO-Electronegativity,Sum-Electronegativity,TM-Formationheat,CO-Formationheat,Sum-Formationheat,TM-vdwRadius,CO-vdwRadius,Sum-vdwRadius
1899,Cr2Ge2Te6,1,5,Cr,Te,6.92820323,73,221,294,122,136,258,83,38,121,1.66,2.1,3.76,397.48,196.6,594.08,206,206,412
1900,Cu4O12Te4,0,10,Cu,O,1.732050808,46,135,181,112,63,175,46.5,5.3,51.8,1.9,3.44,5.34,337.4,249.229,586.629,196,152,348
1904,Mo2O10P2,1,5,Mo,Cl,6.92820323,69,181,250,138,99,237,87,14.6,101.6,2.16,3.16,5.32,658.98,121.302,780.282,217,175,392
1930,Zr3C2,0,2,Zr,C,2.828427125,59,-8,51,154,75,229,112,11.3,123.3,1.33,2.55,3.88,610,716.87,1326.87,223,170,393
1942,Fe2Br2,1,6,Fe,Br,4.898979486,63,196,259,116,114,230,62,21,83,1.83,2.96,4.79,415.5,111.85,527.35,204,185,389
1951,Y2Cl2,1,1,Y,Cl,1.732050808,90,181,271,163,99,262,162,14.6,176.6,1.22,3.16,4.38,424.7,121.302,546.002,232,175,407
1963,Mn2I2,1,5,Mn,I,5.916079783,66,220,286,119,133,252,68,32.9,100.9,1.55,2.66,4.21,283.3,106.757,390.057,205,198,403
2000,CoI2,0,7,Co,P,3.872983346,58,44,102,111,111,222,55,25,80,1.88,2.19,4.07,426.7,316.5,743.2,200,180,380
2002,CrF2,0,5,Cr,C,6.92820323,73,-8,65,122,75,197,83,11.3,94.3,1.66,2.55,4.21,397.48,716.87,1114.35,206,170,376
2006,FeCl2,0,6,Fe,P,4.898979486,63,44,107,116,111,227,62,25,87,1.83,2.19,4.02,415.5,316.5,732,204,180,384
2019,MnI2,1,5,Mn,I,5.916079783,66,220,286,119,133,252,68,32.9,100.9,1.55,2.66,4.21,283.3,106.757,390.057,205,198,403
2020,MnTe2,0,5,Mn,C,5.916079783,66,-8,58,119,75,194,68,11.3,79.3,1.55,2.55,4.1,283.3,716.87,1000.17,205,170,375
2026,NiBr2,1,8,Ni,Br,2.828427125,55,196,251,110,114,224,49,21,70,1.91,2.96,4.87,430.1,111.85,541.95,197,185,382
2032,PdF2,1,10,Pd,Cl,0,59,181,240,120,99,219,26.14,14.6,40.74,2.2,3.16,5.36,376.6,121.302,497.902,210,175,385
2038,Rh2Cl4,1,8,Rh,Cl,3.872983346,66.5,181,247.5,125,99,224,66,14.6,80.6,2.28,3.16,5.44,556,121.302,677.302,210,175,385
2054,VBr2,1,3,V,V,3.872983346,79,79,158,134,134,268,87,87,174,1.63,1.63,3.26,515.5,515.5,1031,207,207,414
2058,W2Se4,1,4,W,Se,4.898979486,66,198,264,137,116,253,68,28.9,96.9,1.7,2.55,4.25,851,227.2,1078.2,218,190,408
2063,Cr2BS2,1,5,Cr,S,6.92820323,73,184,257,122,103,225,83,19.4,102.4,1.66,2.58,4.24,397.48,277.17,674.65,206,180,386
2081,Cu2ReF6,1,10,Cu,Se,1.732050808,46,198,244,112,116,228,46.5,28.9,75.4,1.9,2.55,4.45,337.4,227.2,564.6,196,190,386
2085,Fe2Cl6,0,6,Fe,C,4.898979486,63,-8,55,116,75,191,62,11.3,73.3,1.83,2.55,4.38,415.5,716.87,1132.37,204,170,374
2086,Hf2I6,1,2,Hf,I,2.828427125,58,220,278,152,133,285,103,32.9,135.9,1.3,2.66,3.96,618.4,106.757,725.157,223,198,421
2090,Os2I6,0,6,Os,H,4.898979486,63,-38,25,129,32,161,57,4.50711,61.50711,2.2,2.2,4.4,787,217.998,1004.998,216,110,326
2091,Pd2I6,1,10,Pd,I,0,59,220,279,120,133,253,26.14,32.9,59.04,2.2,2.66,4.86,376.6,106.757,483.357,210,198,408
2092,Re2I6,1,5,Re,I,5.916079783,63,220,283,131,133,264,62,32.9,94.9,1.9,2.66,4.56,774,106.757,880.757,216,198,414
2095,Ti2Cl6,1,2,Ti,Ti,2.828427125,86,86,172,136,136,272,100,100,200,1.54,1.54,3.08,473,473,946,211,211,422
2096,V2Cl6,1,3,V,Cl,3.872983346,79,181,260,134,99,233,87,14.6,101.6,1.63,3.16,4.79,515.5,121.302,636.802,207,175,382
2110,CrBrCl,0,5,Cr,Cr,6.92820323,73,73,146,122,122,244,83,83,166,1.66,1.66,3.32,397.48,397.48,794.96,206,206,412
2112,Fe2Br2N2,0,6,Fe,Ti,4.898979486,63,86,149,116,136,252,62,100,162,1.83,1.54,3.37,415.5,473,888.5,204,211,415
2114,TiBrI,1,2,Ti,I,2.828427125,86,220,306,136,133,269,100,32.9,132.9,1.54,2.66,4.2,473,106.757,579.757,211,198,409
2115,Mn2Br2O2,1,5,Mn,Br,5.916079783,66,196,262,119,114,233,68,21,89,1.55,2.96,4.51,283.3,111.85,395.15,205,185,390
2119,Ti4Br4S4,1,2,Ti,Br,2.828427125,86,196,282,136,114,250,100,21,121,1.54,2.96,4.5,473,111.85,584.85,211,185,396
2130,Cr2I2S2,1,5,Cr,I,6.92820323,73,220,293,122,133,255,83,32.9,115.9,1.66,2.66,4.32,397.48,106.757,504.237,206,198,404
2139,Ti4I4Se4,1,2,Ti,Ti,2.828427125,86,86,172,136,136,272,100,100,200,1.54,1.54,3.08,473,473,946,211,211,422
2142,VSTe,1,3,V,S,3.872983346,79,184,263,134,103,237,87,19.4,106.4,1.63,2.58,4.21,515.5,277.17,792.67,207,180,387
2145,Mn2H2O4,1,5,Mn,Se,5.916079783,66,198,264,119,116,235,68,28.9,96.9,1.55,2.55,4.1,283.3,227.2,510.5,205,190,395
2163,Y2I2,1,1,Y,I,1.732050808,90,220,310,163,133,296,162,32.9,194.9,1.22,2.66,3.88,424.7,106.757,531.457,232,198,430
2167,Cd2Mn3O8,0,5,Mn,Cd,5.916079783,66,78,144,119,136,255,68,46,114,1.55,1.69,3.24,283.3,111.8,395.1,205,218,423
2168,Cr2Si2Te6,1,5,Cr,Te,6.92820323,73,221,294,122,136,258,83,38,121,1.66,2.1,3.76,397.48,196.6,594.08,206,206,412
2172,K2C2O6,1,0,K,O,1.732050808,137,135,272,196,63,259,289.7,5.3,295,0.82,3.44,4.26,89,249.229,338.229,275,152,427
2173,Mo2V2O10,0,5,Mo,V,6.92820323,69,79,148,138,134,272,87,87,174,2.16,1.63,3.79,658.98,515.5,1174.48,217,207,424
2176,NiV2Se4,0,8,Ni,V,2.828427125,55,79,134,110,134,244,49,87,136,1.91,1.63,3.54,430.1,515.5,945.6,197,207,404
2185,Fe2Sr3Br2O5,0,6,Fe,Sr,4.898979486,63,118,181,116,185,301,62,197.2,259.2,1.83,0.95,2.78,415.5,164,579.5,204,249,453
2186,K2Pt2Cl6N2,1,9,Pt,Cl,2.828427125,60,181,241,123,99,222,48,14.6,62.6,2.2,3.16,5.36,565.7,121.302,687.002,213,175,388
2187,Mn2Cl2S4Sb2,0,5,Mn,Sb,5.916079783,66,76,142,119,140,259,68,43,111,1.55,2.05,3.6,283.3,264.4,547.7,205,206,411
2193,Cr3C2H2O2,0,5,Cr,H,6.92820323,73,-38,35,122,32,154,83,4.50711,87.50711,1.66,2.2,3.86,397.48,217.998,615.478,206,110,316
2197,Mn3F2N2,1,5,Mn,N,5.916079783,66,146,212,119,71,190,68,7.4,75.4,1.55,3.04,4.59,283.3,472.44,755.74,205,155,360
2201,Cr3N2,1,5,Cr,N,6.92820323,73,146,219,122,71,193,83,7.4,90.4,1.66,3.04,4.7,397.48,472.44,869.92,206,155,361
2202,Cr4C3F2,0,5,Cr,C,6.92820323,73,-8,65,122,75,197,83,11.3,94.3,1.66,2.55,4.21,397.48,716.87,1114.35,206,170,376
2215,Rh2Br2,0,8,Rh,H,3.872983346,66.5,-38,28.5,125,32,157,66,4.50711,70.50711,2.28,2.2,4.48,556,217.998,773.998,210,110,320
2226,Mn2F2,0,5,Mn,P,5.916079783,66,44,110,119,111,230,68,25,93,1.55,2.19,3.74,283.3,316.5,599.8,205,180,385
2227,Rh2F2,0,8,Rh,C,3.872983346,66.5,-8,58.5,125,75,200,66,11.3,77.3,2.28,2.55,4.83,556,716.87,1272.87,210,170,380
2271,CoI2,0,7,Co,C,3.872983346,58,-8,50,111,75,186,55,11.3,66.3,1.88,2.55,4.43,426.7,716.87,1143.57,200,170,370
2278,Fe2Se4,0,6,Fe,H,4.898979486,63,-38,25,116,32,148,62,4.50711,66.50711,1.83,2.2,4.03,415.5,217.998,633.498,204,110,314
2290,MnI2,0,5,Mn,Si,5.916079783,66,26,92,119,116,235,68,37.3,105.3,1.55,1.9,3.45,283.3,450,733.3,205,210,415
2292,MoI2,0,5,Mo,H,6.92820323,69,-38,31,138,32,170,87,4.50711,91.50711,2.16,2.2,4.36,658.98,217.998,876.978,217,110,327
2293,Mo2Se4,1,5,Mo,Se,6.92820323,69,198,267,138,116,254,87,28.9,115.9,2.16,2.55,4.71,658.98,227.2,886.18,217,190,407
2297,NiBr2,0,8,Ni,Si,2.828427125,55,26,81,110,116,226,49,37.3,86.3,1.91,1.9,3.81,430.1,450,880.1,197,210,407
2299,OsCl2,1,6,Os,Cl,4.898979486,63,181,244,129,99,228,57,14.6,71.6,2.2,3.16,5.36,787,121.302,908.302,216,175,391
2307,Re2I4,0,5,Re,Re,5.916079783,63,63,126,131,131,262,62,62,124,1.9,1.9,3.8,774,774,1548,216,216,432
2311,RuBr2,1,7,Ru,Br,4.898979486,68,196,264,125,114,239,72,21,93,2.2,2.96,5.16,650.6,111.85,762.45,213,185,398
2314,Sb2Se4,0,0,Sb,Sb,3.872983346,76,76,152,140,140,280,43,43,86,2.05,2.05,4.1,264.4,264.4,528.8,206,206,412
2321,Ta2Te4,0,3,Ta,Ta,3.872983346,72,72,144,146,146,292,74,74,148,1.5,1.5,3,782,782,1564,222,222,444
2325,VBr2,0,3,V,P,3.872983346,79,44,123,134,111,245,87,25,112,1.63,2.19,3.82,515.5,316.5,832,207,180,387
2352,Cu2ReI6,1,10,Cu,I,1.732050808,46,220,266,112,133,245,46.5,32.9,79.4,1.9,2.66,4.56,337.4,106.757,444.157,196,198,394
2356,Fe2Cl6,1,6,Fe,Cl,4.898979486,63,181,244,116,99,215,62,14.6,76.6,1.83,3.16,4.99,415.5,121.302,536.802,204,175,379
2357,Hf2I6,1,2,Hf,I,2.828427125,58,220,278,152,133,285,103,32.9,135.9,1.3,2.66,3.96,618.4,106.757,725.157,223,198,421
2366,Ti2I6,1,2,Ti,Ti,2.828427125,86,86,172,136,136,272,100,100,200,1.54,1.54,3.08,473,473,946,211,211,422
2367,V2I6,1,3,V,I,3.872983346,79,220,299,134,133,267,87,32.9,119.9,1.63,2.66,4.29,515.5,106.757,622.257,207,198,405
2373,BiCrAs,1,5,Cr,Se,6.92820323,73,198,271,122,116,238,83,28.9,111.9,1.66,2.55,4.21,397.48,227.2,624.68,206,190,396
2379,BiCrSb,0,5,Cr,Sb,6.92820323,73,76,149,122,140,262,83,43,126,1.66,2.05,3.71,397.48,264.4,661.88,206,206,412
2383,Fe2Br2O2,0,6,Fe,P,4.898979486,63,44,107,116,111,227,62,25,87,1.83,2.19,4.02,415.5,316.5,732,204,180,384
2384,Hf4Br4S4,1,2,Hf,Br,2.828427125,58,196,254,152,114,266,103,21,124,1.3,2.96,4.26,618.4,111.85,730.25,223,185,408
2385,VBrI,0,3,V,C,3.872983346,79,-8,71,134,75,209,87,11.3,98.3,1.63,2.55,4.18,515.5,716.87,1232.37,207,170,377
2386,Mn2Br2Se2,1,5,Mn,Br,5.916079783,66,196,262,119,114,233,68,21,89,1.55,2.96,4.51,283.3,111.85,395.15,205,185,390
2391,Zr4Br4Se4,1,2,Zr,Br,2.828427125,59,196,255,154,114,268,112,21,133,1.33,2.96,4.29,610,111.85,721.85,223,185,408
2400,Ti4Cl4Se4,1,2,Ti,Cl,2.828427125,86,181,267,136,99,235,100,14.6,114.6,1.54,3.16,4.7,473,121.302,594.302,211,175,386
2401,Cr2I2Se2,1,5,Cr,I,6.92820323,73,220,293,122,133,255,83,32.9,115.9,1.66,2.66,4.32,397.48,106.757,504.237,206,198,404
2402,Fe2Mg2Ge2,1,6,Fe,Se,4.898979486,63,198,261,116,116,232,62,28.9,90.9,1.83,2.55,4.38,415.5,227.2,642.7,204,190,394
2410,V2I2Se2,1,3,V,I,3.872983346,79,220,299,134,133,267,87,32.9,119.9,1.63,2.66,4.29,515.5,106.757,622.257,207,198,405
2416,Mn2H2S4,1,5,Mn,S,5.916079783,66,184,250,119,103,222,68,19.4,87.4,1.55,2.58,4.13,283.3,277.17,560.47,205,180,385
2425,MnZrI6,0,5,Mn,Zr,5.916079783,66,59,125,119,154,273,68,112,180,1.55,1.33,2.88,283.3,610,893.3,205,223,428
2434,AlFeF5,1,6,Fe,S,4.898979486,63,184,247,116,103,219,62,19.4,81.4,1.83,2.58,4.41,415.5,277.17,692.67,204,180,384
2438,CrGa2S4,0,5,Cr,Ga,6.92820323,73,47,120,122,124,246,83,50,133,1.66,1.81,3.47,397.48,271.96,669.44,206,187,393
2446,NiCl2O8,1,8,Ni,Cl,2.828427125,55,181,236,110,99,209,49,14.6,63.6,1.91,3.16,5.07,430.1,121.302,551.402,197,175,372
2451,V2H2O5,0,3,V,H,3.872983346,79,-38,41,134,32,166,87,4.50711,91.50711,1.63,2.2,3.83,515.5,217.998,733.498,207,110,317
2453,Ag2V2P4S12,1,3,V,S,3.872983346,79,184,263,134,103,237,87,19.4,106.4,1.63,2.58,4.21,515.5,277.17,792.67,207,180,387
2455,FeMn2C6N6,1,6,Fe,N,4.898979486,63,146,209,116,71,187,62,7.4,69.4,1.83,3.04,4.87,415.5,472.44,887.94,204,155,359
2456,Mn2H4O8S2,0,5,Mn,H,5.916079783,66,-38,28,119,32,151,68,4.50711,72.50711,1.55,2.2,3.75,283.3,217.998,501.298,205,110,315
2474,Mn4N3,0,5,Mn,C,5.916079783,66,-8,58,119,75,194,68,11.3,79.3,1.55,2.55,4.1,283.3,716.87,1000.17,205,170,375
2483,Rh2Br2,1,8,Rh,Br,3.872983346,66.5,196,262.5,125,114,239,66,21,87,2.28,2.96,5.24,556,111.85,667.85,210,185,395
2489,Sc2Cl2,1,1,Sc,Cl,1.732050808,74.5,181,255.5,148,99,247,97,14.6,111.6,1.36,3.16,4.52,377.8,121.302,499.102,215,175,390
2492,Cr2S2,0,5,Cr,Cr,6.92820323,73,73,146,122,122,244,83,83,166,1.66,1.66,3.32,397.48,397.48,794.96,206,206,412
2495,Rh2F2,1,8,Rh,Se,3.872983346,66.5,198,264.5,125,116,241,66,28.9,94.9,2.28,2.55,4.83,556,227.2,783.2,210,190,400
2497,Fe2Se2,1,6,Fe,Se,4.898979486,63,198,261,116,116,232,62,28.9,90.9,1.83,2.55,4.38,415.5,227.2,642.7,204,190,394
2504,Ti2I2,1,2,Ti,I,2.828427125,86,220,306,136,133,269,100,32.9,132.9,1.54,2.66,4.2,473,106.757,579.757,211,198,409
2539,CoLi2,1,7,Co,S,3.872983346,58,184,242,111,103,214,55,19.4,74.4,1.88,2.58,4.46,426.7,277.17,703.87,200,180,380
2541,CrI2,0,5,Cr,Fe,6.92820323,73,63,136,122,116,238,83,62,145,1.66,1.83,3.49,397.48,415.5,812.98,206,204,410
2542,Cr2Se4,0,5,Cr,Si,6.92820323,73,26,99,122,116,238,83,37.3,120.3,1.66,1.9,3.56,397.48,450,847.48,206,210,416
2546,FeSe2,0,6,Fe,Fe,4.898979486,63,63,126,116,116,232,62,62,124,1.83,1.83,3.66,415.5,415.5,831,204,204,408
2558,Li2Mn,0,5,Mn,Li,5.916079783,66,59,125,119,133,252,68,164.1125,232.1125,1.55,0.98,2.53,283.3,159.3,442.6,205,182,387
2560,MoI2,0,5,Mo,Mo,6.92820323,69,69,138,138,138,276,87,87,174,2.16,2.16,4.32,658.98,658.98,1317.96,217,217,434
2565,NiBr2,1,8,Ni,Br,2.828427125,55,196,251,110,114,224,49,21,70,1.91,2.96,4.87,430.1,111.85,541.95,197,185,382
2577,RhCl2,0,8,Rh,Rh,3.872983346,66.5,66.5,133,125,125,250,66,66,132,2.28,2.28,4.56,556,556,1112,210,210,420
2593,VBr2,0,3,V,V,3.872983346,79,79,158,134,134,268,87,87,174,1.63,1.63,3.26,515.5,515.5,1031,207,207,414
2594,V2S4,1,3,V,S,3.872983346,79,184,263,134,103,237,87,19.4,106.4,1.63,2.58,4.21,515.5,277.17,792.67,207,180,387
2619,InNi5Cl2,1,8,Ni,Cl,2.828427125,55,181,236,110,99,209,49,14.6,63.6,1.91,3.16,5.07,430.1,121.302,551.402,197,175,372
2624,Fe2I6,1,6,Fe,I,4.898979486,63,220,283,116,133,249,62,32.9,94.9,1.83,2.66,4.49,415.5,106.757,522.257,204,198,402
2628,Ni2Br6,1,8,Ni,Br,2.828427125,55,196,251,110,114,224,49,21,70,1.91,2.96,4.87,430.1,111.85,541.95,197,185,382
2630,Pt2Br6,1,9,Pt,Br,2.828427125,60,196,256,123,114,237,48,21,69,2.2,2.96,5.16,565.7,111.85,677.55,213,185,398
2635,V2I6,1,3,V,I,3.872983346,79,220,299,134,133,267,87,32.9,119.9,1.63,2.66,4.29,515.5,106.757,622.257,207,198,405
2653,VBrI,0,3,V,V,3.872983346,79,79,158,134,134,268,87,87,174,1.63,1.63,3.26,515.5,515.5,1031,207,207,414
2662,TiClI,0,2,Ti,Ti,2.828427125,86,86,172,136,136,272,100,100,200,1.54,1.54,3.08,473,473,946,211,211,422
2663,Mn2Cl2N2,1,5,Mn,Cl,5.916079783,66,181,247,119,99,218,68,14.6,82.6,1.55,3.16,4.71,283.3,121.302,404.602,205,175,380
2668,V2Cl2Se2,1,3,V,V,3.872983346,79,79,158,134,134,268,87,87,174,1.63,1.63,3.26,515.5,515.5,1031,207,207,414
2670,Fe2Sr2Ge2,1,6,Fe,Se,4.898979486,63,198,261,116,116,232,62,28.9,90.9,1.83,2.55,4.38,415.5,227.2,642.7,204,190,394
2677,Ti4I4S4,1,2,Ti,S,2.828427125,86,184,270,136,103,239,100,19.4,119.4,1.54,2.58,4.12,473,277.17,750.17,211,180,391
2693,NiZrBr6,0,8,Ni,Zr,2.828427125,55,59,114,110,154,264,49,112,161,1.91,1.33,3.24,430.1,610,1040.1,197,223,420
2700,Y2Cl2,1,1,Y,Cl,1.732050808,90,181,271,163,99,262,162,14.6,176.6,1.22,3.16,4.38,424.7,121.302,546.002,232,175,407
2705,CrMoF6,0,5,Cr,Mo,6.92820323,73,69,142,122,138,260,83,87,170,1.66,2.16,3.82,397.48,658.98,1056.46,206,217,423
2718,V2P2S6,0,3,V,P,3.872983346,79,44,123,134,111,245,87,25,112,1.63,2.19,3.82,515.5,316.5,832,207,180,387
2719,Zn4Cl4O4,1,10,Zn,Cl,0,60,181,241,118,99,217,38.67,14.6,53.27,1.65,3.16,4.81,130.4,121.302,251.702,201,175,376
2720,AgVP2Se6,1,3,V,Se,3.872983346,79,198,277,134,116,250,87,28.9,115.9,1.63,2.55,4.18,515.5,227.2,742.7,207,190,397
2722,Cu2C4H4O8,0,10,Cu,H,1.732050808,46,-38,8,112,32,144,46.5,4.50711,51.00711,1.9,2.2,4.1,337.4,217.998,555.398,196,110,306
2725,Mn2I2Sb2Se4,0,5,Mn,Sb,5.916079783,66,76,142,119,140,259,68,43,111,1.55,2.05,3.6,283.3,264.4,547.7,205,206,411
2727,Ca2C2F2O6,0,0,Ca,C,0,100,-8,92,171,75,246,160.8,11.3,172.1,1,2.55,3.55,177.8,716.87,894.67,231,170,401
2731,Mn3C2H2O2,1,5,Mn,S,5.916079783,66,184,250,119,103,222,68,19.4,87.4,1.55,2.58,4.13,283.3,277.17,560.47,205,180,385
2734,Cr3C2O2,1,5,Cr,O,6.92820323,73,135,208,122,63,185,83,5.3,88.3,1.66,3.44,5.1,397.48,249.229,646.709,206,152,358
2736,V3N2O2,0,3,V,V,3.872983346,79,79,158,134,134,268,87,87,174,1.63,1.63,3.26,515.5,515.5,1031,207,207,414
2739,Mn3N2,0,5,Mn,Mn,5.916079783,66,66,132,119,119,238,68,68,136,1.55,1.55,3.1,283.3,283.3,566.6,205,205,410
2740,Mn4C3F2,1,5,Mn,Cl,5.916079783,66,181,247,119,99,218,68,14.6,82.6,1.55,3.16,4.71,283.3,121.302,404.602,205,175,380
2743,Cr4C3,1,5,Cr,Se,6.92820323,73,198,271,122,116,238,83,28.9,111.9,1.66,2.55,4.21,397.48,227.2,624.68,206,190,396
2752,Ni2Br2,1,8,Ni,Br,2.828427125,55,196,251,110,114,224,49,21,70,1.91,2.96,4.87,430.1,111.85,541.95,197,185,382
2811,CrI2,1,5,Cr,I,6.92820323,73,220,293,122,133,255,83,32.9,115.9,1.66,2.66,4.32,397.48,106.757,504.237,206,198,404
2812,CrSe2,1,5,Cr,Se,6.92820323,73,198,271,122,116,238,83,28.9,111.9,1.66,2.55,4.21,397.48,227.2,624.68,206,190,396
2815,FeH2,0,6,Fe,H,4.898979486,63,-38,25,116,32,148,62,4.50711,66.50711,1.83,2.2,4.03,415.5,217.998,633.498,204,110,314
2828,MnO2,1,5,Mn,S,5.916079783,66,184,250,119,103,222,68,19.4,87.4,1.55,2.58,4.13,283.3,277.17,560.47,205,180,385
2830,MoI2,0,5,Mo,Mo,6.92820323,69,69,138,138,138,276,87,87,174,2.16,2.16,4.32,658.98,658.98,1317.96,217,217,434
2835,NiCl2,1,8,Ni,Cl,2.828427125,55,181,236,110,99,209,49,14.6,63.6,1.91,3.16,5.07,430.1,121.302,551.402,197,175,372
2845,ReI2,1,5,Re,I,5.916079783,63,220,283,131,133,264,62,32.9,94.9,1.9,2.66,4.56,774,106.757,880.757,216,198,414
2849,RuCl2,1,7,Ru,Cl,4.898979486,68,181,249,125,99,224,72,14.6,86.6,2.2,3.16,5.36,650.6,121.302,771.902,213,175,388
2882,ZrH2O2,0,2,Zr,H,2.828427125,59,-38,21,154,32,186,112,4.50711,116.50711,1.33,2.2,3.53,610,217.998,827.998,223,110,333
2890,Ag2Br6,1,10,Ag,Br,1.732050808,67,196,263,128,114,242,55,21,76,1.93,2.96,4.89,284.9,111.85,396.75,211,185,396
2893,Cr2Br6,1,5,Cr,Br,6.92820323,73,196,269,122,114,236,83,21,104,1.66,2.96,4.62,397.48,111.85,509.33,206,185,391
2894,Fe2I6,1,6,Fe,I,4.898979486,63,220,283,116,133,249,62,32.9,94.9,1.83,2.66,4.49,415.5,106.757,522.257,204,198,402
2898,Ni2Br6,1,8,Ni,Ni,2.828427125,55,55,110,110,110,220,49,49,98,1.91,1.91,3.82,430.1,430.1,860.2,197,197,394
2900,Pt2Br6,1,9,Pt,Br,2.828427125,60,196,256,123,114,237,48,21,69,2.2,2.96,5.16,565.7,111.85,677.55,213,185,398
2922,Hf4Br4Se4,1,2,Hf,Hf,2.828427125,58,58,116,152,152,304,103,103,206,1.3,1.3,2.6,618.4,618.4,1236.8,223,223,446
2928,Zr4Br4S4,1,2,Zr,Br,2.828427125,59,196,255,154,114,268,112,21,133,1.33,2.96,4.29,610,111.85,721.85,223,185,408
2929,Ca2Mn2Sn2,0,5,Mn,Sn,5.916079783,66,55,121,119,140,259,68,53,121,1.55,1.96,3.51,283.3,301.2,584.5,205,217,422
2930,Fe2Cl2O2,0,6,Fe,O,4.898979486,63,135,198,116,63,179,62,5.3,67.3,1.83,3.44,5.27,415.5,249.229,664.729,204,152,356
2931,Hf4Cl4S4,0,2,Hf,Si,2.828427125,58,26,84,152,116,268,103,37.3,140.3,1.3,1.9,3.2,618.4,450,1068.4,223,210,433
